INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:19:33.286] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:33.527] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:33.527] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:34.126] >> PING/v4                               addr=172.19.0.101:30303 err=nil
DEBUG[12-20|14:19:34.147] Revalidated node                         b=16 id=351f7398fade5b04
TRACE[12-20|14:19:34.147] << PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:34.814] >> PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:34.814] << PING/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:35.450] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:35.450] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:36.218] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:36.218] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:36.621] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:36.621] << PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:37.291] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:37.291] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:37.505] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:37.505] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:39.438] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:39.438] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:40.198] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:40.198] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
